study_accession	sample_accession	analysis_accession	analysis_type	tax_id	scientific_name	submitted_ftp
PRJEB11750	SAMEA2398004	ERZ127473	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127473/HPSI1013i-garx_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127473/HPSI1013i-garx_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127473/hipsci_20151028.ped
PRJEB11750	SAMEA2570424	ERZ127474	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127474/HPSI0114i-zapk_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127474/HPSI0114i-zapk_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127474/hipsci_20151028.ped
PRJEB11750	SAMEA2698312	ERZ127475	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127475/HPSI0314i-hoik_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127475/HPSI0314i-hoik_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127475/hipsci_20151028.ped
PRJEB11750	SAMEA2399042	ERZ127476	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127476/HPSI1113pf-podx.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127476/HPSI1113pf-podx.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127476/hipsci_20151028.ped
PRJEB11750	SAMEA2397953	ERZ127477	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127477/HPSI0913pf-diku.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127477/HPSI0913pf-diku.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127477/hipsci_20151028.ped
PRJEB11750	SAMEA2398541	ERZ127478	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127478/HPSI0214pf-bute.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127478/HPSI0214pf-bute.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127478/hipsci_20151028.ped
PRJEB11750	SAMEA2399464	ERZ127479	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127479/HPSI0314pf-fafq.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127479/HPSI0314pf-fafq.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127479/hipsci_20151028.ped
PRJEB11750	SAMEA2398984	ERZ127480	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127480/HPSI1113pf-bima.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127480/HPSI1113pf-bima.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127480/hipsci_20151028.ped
PRJEB11750	SAMEA2536404	ERZ127481	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127481/HPSI0114i-lexy_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127481/HPSI0114i-lexy_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127481/hipsci_20151028.ped
PRJEB11750	SAMEA2398188	ERZ127482	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127482/HPSI1013i-garx_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127482/HPSI1013i-garx_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127482/hipsci_20151028.ped
PRJEB11750	SAMEA2547644	ERZ127483	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127483/HPSI0114i-kolf_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127483/HPSI0114i-kolf_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127483/hipsci_20151028.ped
PRJEB11750	SAMEA2397875	ERZ127484	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127484/HPSI0114pf-lexy.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127484/HPSI0114pf-lexy.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127484/hipsci_20151028.ped
PRJEB11750	SAMEA2612483	ERZ127485	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127485/HPSI0214i-feec_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127485/HPSI0214i-feec_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127485/hipsci_20151028.ped
PRJEB11750	SAMEA2698309	ERZ127486	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127486/HPSI0314i-bubh_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127486/HPSI0314i-bubh_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127486/hipsci_20151028.ped
