cell_name,donor_short_id,donor_long_id,study_accession,sample_accession,ENA_Accession
21241_6#10,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494285,ERR1737560
21241_6#100,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494856,ERR1737650
21241_6#101,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494857,ERR1737651
21241_6#103,sebz_1,HPSI1013i-sebz_1,PRJEB14362,SAMEA4494859,ERR1737653
21241_6#104,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494860,ERR1737654
21241_6#105,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494861,ERR1737655
21241_6#106,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494862,ERR1737656
21241_6#107,sojd_3,HPSI0314i-sojd_3,PRJEB14362,SAMEA4494863,ERR1737657
21241_6#109,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494865,ERR1737659
21241_6#11,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494286,ERR1737561
21241_6#110,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494866,ERR1737660
21241_6#111,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494867,ERR1737661
21241_6#112,sojd_3,HPSI0314i-sojd_3,PRJEB14362,SAMEA4494868,ERR1737662
21241_6#113,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494869,ERR1737663
21241_6#114,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494870,ERR1737664
21241_6#115,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494871,ERR1737665
21241_6#116,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494872,ERR1737666
21241_6#117,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494873,ERR1737667
21241_6#118,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494874,ERR1737668
21241_6#119,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494875,ERR1737669
21241_6#12,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494287,ERR1737562
21241_6#121,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494877,ERR1737671
21241_6#122,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494878,ERR1737672
21241_6#123,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494879,ERR1737673
21241_6#124,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494880,ERR1737674
21241_6#125,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494881,ERR1737675
21241_6#126,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494882,ERR1737676
21241_6#127,sojd_3,HPSI0314i-sojd_3,PRJEB14362,SAMEA4494883,ERR1737677
21241_6#128,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494884,ERR1737678
21241_6#129,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494885,ERR1737679
21241_6#13,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494288,ERR1737563
21241_6#130,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494886,ERR1737680
21241_6#131,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494887,ERR1737681
21241_6#132,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494888,ERR1737682
21241_6#133,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494889,ERR1737683
21241_6#134,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494890,ERR1737684
21241_6#135,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494891,ERR1737685
21241_6#136,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494892,ERR1737686
21241_6#137,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494893,ERR1737687
21241_6#138,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494894,ERR1737688
21241_6#14,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494289,ERR1737564
21241_6#140,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494896,ERR1737690
21241_6#141,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494897,ERR1737691
21241_6#142,sojd_3,HPSI0314i-sojd_3,PRJEB14362,SAMEA4494898,ERR1737692
21241_6#143,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494899,ERR1737693
21241_6#145,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494901,ERR1737695
21241_6#147,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494903,ERR1737697
21241_6#148,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494904,ERR1737698
21241_6#149,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494905,ERR1737699
21241_6#150,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494906,ERR1737700
21241_6#152,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494908,ERR1737702
21241_6#153,sebz_1,HPSI1013i-sebz_1,PRJEB14362,SAMEA4494909,ERR1737703
21241_6#154,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494910,ERR1737704
21241_6#156,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494912,ERR1737706
21241_6#157,sojd_3,HPSI0314i-sojd_3,PRJEB14362,SAMEA4494913,ERR1737707
21241_6#158,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494914,ERR1737708
21241_6#159,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494915,ERR1737709
21241_6#161,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494917,ERR1737711
21241_6#162,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494918,ERR1737712
21241_6#163,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494919,ERR1737713
21241_6#165,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494921,ERR1737715
21241_6#166,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494922,ERR1737716
21241_6#168,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494924,ERR1737718
21241_6#169,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494925,ERR1737719
21241_6#170,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494926,ERR1737720
21241_6#171,sebz_1,HPSI1013i-sebz_1,PRJEB14362,SAMEA4494927,ERR1737721
21241_6#172,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494928,ERR1737722
21241_6#173,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494929,ERR1737723
21241_6#175,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494931,ERR1737725
21241_6#176,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494932,ERR1737726
21241_6#177,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494933,ERR1737727
21241_6#178,wopl_1,HPSI1013i-wopl_1,PRJEB14362,SAMEA4494934,ERR1737728
21241_6#179,fafq_1,HPSI0314i-fafq_1,PRJEB14362,SAMEA4494935,ERR1737729
21241_6#181,hayt_1,HPSI1113i-hayt_1,PRJEB14362,SAMEA4494937,ERR1737731
21241_6#182,sojd_3,HPSI0314i-sojd_3,PRJEB14362,SAMEA4494938,ERR1737732
21241_6#183,garx_2,HPSI1013i-garx_2,PRJEB14362,SAMEA4494939,ERR1737733
